Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
63,1.0,1.0,1.0,4304,MEDIUM,True,0 days 00:01:55.037000
63,2.0,1.0,2.0,8608,MEDIUM,True,0 days 00:01:45.044000
63,3.0,1.0,3.0,12912,MEDIUM,True,0 days 00:01:25.452000
63,4.0,1.0,4.0,17216,MEDIUM,True,0 days 00:01:24.679000
63,5.0,1.0,5.0,21520,MEDIUM,True,0 days 00:01:25.993000
63,6.0,1.0,6.0,25824,MEDIUM,True,0 days 00:01:24.069000
63,7.0,1.0,7.0,30128,MEDIUM,True,0 days 00:01:24.487000
63,8.0,1.0,8.0,34432,MEDIUM,True,0 days 00:01:24.278000
63,9.0,1.0,9.0,38736,MEDIUM,True,0 days 00:01:24.100000
63,10.0,1.0,10.0,43040,MEDIUM,True,0 days 00:01:24.208000
63,11.0,1.0,11.0,47344,MEDIUM,True,0 days 00:01:24.241000
63,12.0,1.0,12.0,51648,MEDIUM,True,0 days 00:01:24.388000
63,13.0,1.0,13.0,55952,MEDIUM,True,0 days 00:01:24.220000
63,14.0,1.0,14.0,60256,MEDIUM,True,0 days 00:01:24.175000
63,15.0,1.0,15.0,64560,MEDIUM,True,0 days 00:01:25.064000
63,16.0,1.0,16.0,68864,MEDIUM,True,0 days 00:01:25.115000
63,17.0,1.0,17.0,73168,MEDIUM,True,0 days 00:01:26.429000
63,18.0,1.0,18.0,77472,MEDIUM,True,0 days 00:01:24.703000
63,19.0,1.0,19.0,81776,MEDIUM,True,0 days 00:01:25.501000
63,20.0,1.0,20.0,86080,MEDIUM,True,0 days 00:01:24.358000
63,21.0,1.0,21.0,90384,MEDIUM,True,0 days 00:01:24.233000
63,22.0,1.0,22.0,94688,MEDIUM,True,0 days 00:01:27.063000
63,23.0,2.0,1.0,4304,HARD,True,0 days 00:01:44.636000
63,24.0,2.0,2.0,8608,HARD,True,0 days 00:01:26.191000
63,25.0,2.0,3.0,12912,HARD,True,0 days 00:01:23.400000
63,26.0,2.0,4.0,17216,HARD,True,0 days 00:01:23.672000
63,27.0,2.0,5.0,21520,HARD,True,0 days 00:01:23.766000
63,28.0,2.0,6.0,25824,HARD,True,0 days 00:01:23.788000
63,29.0,2.0,7.0,30128,HARD,True,0 days 00:01:23.422000
63,30.0,2.0,8.0,34432,HARD,True,0 days 00:01:23.703000
63,31.0,2.0,9.0,38736,HARD,True,0 days 00:01:23.553000
63,32.0,2.0,10.0,43040,HARD,True,0 days 00:01:23.559000
63,33.0,2.0,11.0,47344,HARD,True,0 days 00:01:23.964000
63,34.0,2.0,12.0,51648,HARD,True,0 days 00:01:24.911000
63,35.0,2.0,13.0,55952,HARD,True,0 days 00:01:23.063000
63,36.0,2.0,14.0,60256,HARD,True,0 days 00:01:23.237000
63,37.0,2.0,15.0,64560,HARD,True,0 days 00:01:23.162000
63,38.0,2.0,16.0,68864,HARD,True,0 days 00:01:23.541000
63,39.0,2.0,17.0,73168,HARD,True,0 days 00:01:23.627000
63,40.0,2.0,18.0,77472,HARD,True,0 days 00:01:23.554000
63,41.0,2.0,19.0,81776,HARD,True,0 days 00:01:23.124000
63,42.0,2.0,20.0,86080,HARD,True,0 days 00:01:22.765000
63,43.0,2.0,21.0,90384,HARD,True,0 days 00:01:25.147000
63,44.0,2.0,22.0,94688,HARD,True,0 days 00:01:24.756000
63,45.0,2.0,23.0,98992,HARD,True,0 days 00:01:22.588000
63,46.0,2.0,24.0,103296,HARD,True,0 days 00:01:22.894000
63,47.0,2.0,25.0,107600,HARD,True,0 days 00:01:22.210000
63,48.0,2.0,26.0,111904,HARD,True,0 days 00:01:22.665000
63,49.0,2.0,27.0,116208,HARD,True,0 days 00:01:24.517000
63,50.0,2.0,28.0,120512,HARD,True,0 days 00:01:23.860000
63,51.0,2.0,29.0,124816,HARD,True,0 days 00:01:24.996000
63,52.0,2.0,30.0,129120,HARD,True,0 days 00:01:24.207000
63,53.0,2.0,31.0,133424,HARD,True,0 days 00:01:24.069000
63,54.0,2.0,32.0,137728,HARD,True,0 days 00:01:23.569000
63,55.0,2.0,33.0,142032,HARD,True,0 days 00:01:22.126000
63,56.0,2.0,34.0,146336,HARD,True,0 days 00:01:22.612000
63,57.0,2.0,35.0,150640,HARD,True,0 days 00:01:24.446000
63,58.0,2.0,36.0,154944,HARD,True,0 days 00:01:23.100000
63,59.0,2.0,37.0,159248,HARD,True,0 days 00:01:22.590000
63,60.0,2.0,38.0,163552,HARD,True,0 days 00:01:22.841000
63,61.0,2.0,39.0,167856,HARD,True,0 days 00:01:26.814000
63,62.0,2.0,40.0,172160,HARD,True,0 days 00:01:22.450000
63,63.0,2.0,41.0,176464,HARD,True,0 days 00:01:22.183000
63,64.0,2.0,42.0,180768,HARD,True,0 days 00:01:21.928000
63,65.0,2.0,43.0,185072,HARD,True,0 days 00:01:21.853000
63,66.0,2.0,44.0,189376,HARD,True,0 days 00:01:21.631000
63,67.0,2.0,45.0,193680,HARD,True,0 days 00:01:21.545000
63,68.0,2.0,46.0,197984,HARD,True,0 days 00:01:21.737000
63,69.0,2.0,47.0,202288,HARD,True,0 days 00:01:21.286000
