Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
99,1.0,1.0,1.0,4304,MEDIUM,True,0 days 00:01:51.260000
99,2.0,1.0,2.0,8608,MEDIUM,True,0 days 00:01:44.988000
99,3.0,1.0,3.0,12912,MEDIUM,True,0 days 00:01:23.682000
99,4.0,1.0,4.0,17216,MEDIUM,True,0 days 00:01:23.588000
99,5.0,1.0,5.0,21520,MEDIUM,True,0 days 00:01:24.749000
99,6.0,1.0,6.0,25824,MEDIUM,True,0 days 00:01:23.832000
99,7.0,1.0,7.0,30128,MEDIUM,True,0 days 00:01:23.599000
99,8.0,1.0,8.0,34432,MEDIUM,True,0 days 00:01:23.899000
99,9.0,1.0,9.0,38736,MEDIUM,True,0 days 00:01:25.422000
99,10.0,1.0,10.0,43040,MEDIUM,True,0 days 00:01:23.498000
99,11.0,1.0,11.0,47344,MEDIUM,True,0 days 00:01:23.368000
99,12.0,1.0,12.0,51648,MEDIUM,True,0 days 00:01:23.286000
99,13.0,1.0,13.0,55952,MEDIUM,True,0 days 00:01:22.977000
99,14.0,1.0,14.0,60256,MEDIUM,True,0 days 00:01:23.210000
99,15.0,1.0,15.0,64560,MEDIUM,True,0 days 00:01:23.396000
99,16.0,1.0,16.0,68864,MEDIUM,True,0 days 00:01:23.363000
99,17.0,1.0,17.0,73168,MEDIUM,True,0 days 00:01:22.804000
99,18.0,1.0,18.0,77472,MEDIUM,True,0 days 00:01:23.088000
99,19.0,1.0,19.0,81776,MEDIUM,True,0 days 00:01:22.871000
99,20.0,1.0,20.0,86080,MEDIUM,True,0 days 00:01:22.414000
99,21.0,1.0,21.0,90384,MEDIUM,True,0 days 00:01:25.767000
99,22.0,2.0,1.0,4304,HARD,True,0 days 00:02:04.178000
99,23.0,2.0,2.0,8608,HARD,True,0 days 00:01:21.599000
99,24.0,2.0,3.0,12912,HARD,True,0 days 00:01:21.771000
99,25.0,2.0,4.0,17216,HARD,True,0 days 00:01:21.908000
99,26.0,2.0,5.0,21520,HARD,True,0 days 00:01:22.346000
99,27.0,2.0,6.0,25824,HARD,True,0 days 00:01:24.013000
99,28.0,2.0,7.0,30128,HARD,True,0 days 00:01:23.605000
99,29.0,2.0,8.0,34432,HARD,True,0 days 00:01:23.922000
99,30.0,2.0,9.0,38736,HARD,True,0 days 00:01:22.555000
99,31.0,2.0,10.0,43040,HARD,True,0 days 00:01:22.167000
99,32.0,2.0,11.0,47344,HARD,True,0 days 00:01:22.466000
99,33.0,2.0,12.0,51648,HARD,True,0 days 00:01:24.456000
99,34.0,2.0,13.0,55952,HARD,True,0 days 00:01:22.186000
99,35.0,2.0,14.0,60256,HARD,True,0 days 00:01:22.406000
99,36.0,2.0,15.0,64560,HARD,True,0 days 00:01:24.489000
99,37.0,2.0,16.0,68864,HARD,True,0 days 00:01:22.863000
99,38.0,2.0,17.0,73168,HARD,True,0 days 00:01:22.322000
99,39.0,2.0,18.0,77472,HARD,True,0 days 00:01:22.244000
99,40.0,2.0,19.0,81776,HARD,True,0 days 00:01:22.164000
99,41.0,2.0,20.0,86080,HARD,True,0 days 00:01:21.938000
99,42.0,2.0,21.0,90384,HARD,True,0 days 00:01:21.816000
99,43.0,2.0,22.0,94688,HARD,True,0 days 00:01:21.745000
99,44.0,2.0,23.0,98992,HARD,True,0 days 00:01:21.549000
99,45.0,2.0,24.0,103296,HARD,True,0 days 00:01:21.358000
99,46.0,2.0,25.0,107600,HARD,True,0 days 00:01:23.823000
99,47.0,2.0,26.0,111904,HARD,True,0 days 00:01:21.547000
99,48.0,2.0,27.0,116208,HARD,True,0 days 00:01:21.403000
99,49.0,2.0,28.0,120512,HARD,True,0 days 00:01:21.339000
99,50.0,2.0,29.0,124816,HARD,True,0 days 00:01:21.491000
99,51.0,2.0,30.0,129120,HARD,True,0 days 00:01:21.485000
99,52.0,2.0,31.0,133424,HARD,True,0 days 00:01:21.261000
99,53.0,2.0,32.0,137728,HARD,True,0 days 00:01:21.230000
99,54.0,2.0,33.0,142032,HARD,True,0 days 00:01:21.554000
99,55.0,2.0,34.0,146336,HARD,True,0 days 00:01:21.035000
99,56.0,2.0,35.0,150640,HARD,True,0 days 00:01:21.162000
99,57.0,2.0,36.0,154944,HARD,True,0 days 00:01:21.498000
99,58.0,2.0,37.0,159248,HARD,True,0 days 00:01:21.217000
99,59.0,2.0,38.0,163552,HARD,True,0 days 00:01:21.198000
99,60.0,2.0,39.0,167856,HARD,True,0 days 00:01:21.524000
99,61.0,2.0,40.0,172160,HARD,True,0 days 00:01:21.376000
99,62.0,2.0,41.0,176464,HARD,True,0 days 00:01:21.580000
99,63.0,2.0,42.0,180768,HARD,True,0 days 00:01:21.504000
99,64.0,2.0,43.0,185072,HARD,True,0 days 00:01:21.309000
99,65.0,2.0,44.0,189376,HARD,True,0 days 00:01:21.014000
99,66.0,2.0,45.0,193680,HARD,True,0 days 00:01:21.746000
99,67.0,2.0,46.0,197984,HARD,True,0 days 00:01:21.511000
99,68.0,2.0,47.0,202288,HARD,True,0 days 00:01:21.594000
99,69.0,2.0,48.0,206592,HARD,True,0 days 00:01:21.676000
99,70.0,2.0,49.0,210896,HARD,True,0 days 00:01:21.952000
